factor,type,impl,ic_fwd_1d,pval_fwd_1d,n_fwd_1d,trig_count,ic_fwd_7d,pval_fwd_7d,n_fwd_7d,ic_fwd_30d,pval_fwd_30d,n_fwd_30d,n_long_signals,n_short_signals,hit_rate_long_30d,hit_rate_short_30d
cap_044_regime_trending_up,regime_classifier,rule,0.013978784159513912,0.42043255723465417,3324,710.0,-0.03236593826721229,0.06301803435036547,3300,-0.09979882722660054,1.4748005294804666e-08,3208,710,0,0.4,
cap_045_regime_trending_down,regime_classifier,rule,0.03248222493662258,0.06113407539672569,3324,658.0,0.07290668065577954,2.7630761804784502e-05,3300,0.09810155857021916,2.5817843155523256e-08,3208,0,658,,0.5987841945288754
cap_046_regime_ranging,regime_classifier,rule,-0.04064022444324963,0.01912097793015848,3324,285.0,-0.06956065218880926,6.353382675715147e-05,3300,-0.024373345172375098,0.16753923315506994,3208,146,107,0.6027397260273972,0.308411214953271
cap_047_regime_volatile,regime_classifier,rule,,,0,,,,0,,,0,0,0,,
cap_070_parabolic_exhaustion,regime_classifier,rule,0.0007650007720758623,0.9648335565301668,3324,28.0,-0.013105932649992283,0.4516749285971629,3300,-0.008088001745628515,0.6470049022681076,3208,0,28,,0.4642857142857143
cap_015_rsi_bullish_divergence,indicator_rule,rule,0.010748823048086728,0.5355876994774984,3324,3.0,-0.0015568566370960078,0.9287634064976896,3300,0.001646352520478192,0.9257352787143729,3208,3,0,0.6666666666666666,
cap_016_rsi_bearish_divergence,indicator_rule,rule,0.0031833598607699408,0.8544329327201955,3324,5.0,-9.405065658924925e-05,0.9956908442886645,3300,0.008878403886051593,0.615189482231243,3208,0,5,,0.4
cap_017_rsi_oversold_bounce,indicator_rule,rule,-0.025871488348050316,0.1358861545030987,3324,37.0,-0.01901641042418796,0.27479157058561327,3300,-0.028418355615122667,0.10755274922245653,3208,37,0,0.35135135135135137,
cap_018_ma_golden_cross,indicator_rule,rule,0.0293001239413779,0.09121929238620131,3324,12.0,0.032976515635517026,0.05820456638384031,3300,0.0649156515164045,0.00023394911095497153,3208,12,0,0.8333333333333334,
cap_019_ma_death_cross,indicator_rule,rule,0.019906949689213315,0.251216299051743,3324,14.0,-0.010160293530342968,0.5595847792401687,3300,-0.0016647246521062334,0.9249089733125289,3208,0,14,,0.6428571428571429
cap_020_macd_histogram_cross,indicator_rule,rule,0.002423982806255829,0.8888967982499807,3324,248.0,-0.022097401242163604,0.20441499791109613,3300,0.010966797398752408,0.5346474408376714,3208,125,123,0.488,0.5284552845528455
cap_021_bb_squeeze_breakout,indicator_rule,rule,0.010462008481620974,0.5465301446593077,3324,129.0,0.023586481623123334,0.17554014842034657,3300,-0.0035362585756463795,0.8413136430123639,3208,63,66,0.3492063492063492,0.6666666666666666
cap_022_fib_618_support,indicator_rule,rule,-0.016300635429522942,0.3474699470624575,3324,177.0,-0.030871803446738465,0.07619543389166678,3300,-0.01649633106054669,0.35028400106210955,3208,177,0,0.4858757062146893,
cap_069_moving_average_reclaim,indicator_rule,rule,0.0021375502637856207,0.9019547331706326,3324,34.0,-0.008798326819046852,0.6133876861893993,3300,0.046262693166584934,0.008775863278348959,3208,34,0,0.6470588235294118,
cap_023_elliott_wave_3,structural_bias,approx,0.03329696355787438,0.05491880740737833,3324,382.0,0.04092198017938187,0.018728927398717028,3300,-0.027670170098284146,0.11713671948572632,3208,382,0,0.4476439790575916,
cap_024_wyckoff_accumulation_spring,structural_bias,approx,-0.00431174273555796,0.8037495192491878,3324,1.0,0.004322317750287801,0.8039755337315154,3300,0.007884648160831552,0.6552988485436925,3208,1,0,1.0,
cap_025_wyckoff_distribution_upthrust,structural_bias,approx,0.02340554766475194,0.1773035613058937,3324,29.0,0.0056015361166864685,0.7477069762624964,3300,-0.017261043839089885,0.3283990424109962,3208,0,29,,0.3793103448275862
cap_026_smc_order_block_retest,structural_bias,approx,0.015931531830977418,0.3584976359704544,3324,47.0,-0.006294133925981173,0.7177727450290433,3300,0.016922635347894135,0.3379721281267397,3208,47,0,0.48936170212765956,
