handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
Yodaskk,mixed,contrarian,0.14472306707186644,3.849107654849386e-05,803,0.031278914996650004,0.07540881351819073,151,67,0.543046357615894,0.5223880597014925
dpuellARK,mixed,long_tilted,0.10931725491947537,0.0019207070174680509,803,0.036272442409789205,0.07313945762557097,146,1,0.3835616438356164,0.0
AnalysisElliott,cycle,long_tilted,0.1062621513491914,0.0025695626499406604,803,0.05369169262201207,0.08167299856509683,236,0,0.5338983050847458,
Tree_of_Alpha,mixed,contrarian,0.10271147496352931,0.0035713119307199614,803,-0.013494276781219365,0.03354558874518089,0,1,,0.0
ToneVays,mixed,contrarian,0.0984575063058265,0.00523094882027414,803,0.05065608805688347,0.11792962629327176,379,95,0.5488126649076517,0.5368421052631579
pierre_crypt0,pure_TA,neutral,0.09832077423099377,0.005294299478509656,803,0.010158800904566329,0.05618947512652367,21,62,0.38095238095238093,0.5161290322580645
Jiangzhuoer2,cycle,long_tilted,0.09772556973490491,0.005578204248618999,803,0.05187364704596794,0.15134484392027253,388,154,0.5567010309278351,0.6168831168831169
KillaXBT,mixed,contrarian,0.09666610322758759,0.006117663904467854,803,0.003038563550940633,0.05619310872342903,12,92,0.5833333333333334,0.5
inmortalcrypto,cycle,long_tilted,0.09341160261630986,0.00808024496608031,803,0.03887642219336011,0.08109953035245984,165,12,0.46060606060606063,0.8333333333333334
ChartsBTC,cycle,long_tilted,0.0932683496394831,0.008178307788989586,803,0.07284077327471646,0.1259032859314477,395,137,0.5544303797468354,0.656934306569343
JakeGagain,content_creator,long_tilted,0.09107183154113078,0.009820880096655162,803,0.07802819490947004,0.14708250790044383,387,140,0.5555555555555556,0.6428571428571429
Michael_Liu93,structural,short_tilted,0.08928983346480222,0.011362605212980735,803,-0.003465784921331,0.04260639483534781,1,60,1.0,0.5
CrashiusClay69,mixed,long_tilted,0.08597826157144767,0.01480531043675555,803,0.06358122788574581,0.11503260743317521,373,133,0.546916890080429,0.6390977443609023
therationalroot,cycle,long_tilted,0.08555154605778208,0.015309798432653883,803,0.06999078796977092,0.12345315743588114,368,123,0.5570652173913043,0.6422764227642277
TATrader_Alan,mixed,long_tilted,0.08510543760278849,0.01585330426270984,803,0.03172432261661076,0.049230797598502934,48,0,0.3541666666666667,
